main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,otherSeparateWorks,anelidaArcite,Lydgate,1430,I,36-43.
works,otherSeparateWorks,lackSteadfastness,Unknown,[c. 1445],IV,5
works,otherSeparateWorks,lackSteadfastness,Hanmer,1576,I,113.
works,otherSeparateWorks,complaintPurse,Unknown,[c. 1450],I,50
works,otherSeparateWorks,complaintPurse,Caxton,[1477-8],I,58
works,otherSeparateWorks,complaintPurse,Seume,[c. 1801],V,138.
works,canterburyTales,editionsGerman,Kannegiesser,1827,V,139
works,canterburyTales,editionsGerman,Fiedler,1844,V,141
works,canterburyTales,editionsGerman,Hertzberg,1866,V,145-146.
works,canterburyTales,abridgmentsChildren,Clarke,1833,II,187
works,canterburyTales,abridgmentsChildren,Haweis,1876,III,121
works,canterburyTales,abridgmentsChildren,Storrs,1878,III,123.
works,canterburyTales,pardonerTale,Lipscomb,1792,I,493
works,canterburyTales,pardonerTale,Unknown,1792,I,493
works,canterburyTales,pardonerTale,Hunt,1845,II,260
works,canterburyTales,pardonerTale,Hunt,1855,III,22-23
works,canterburyTales,pardonerTale,[Hunt,1820,II,126
works,canterburyTales,pardonerTale,Heywood,1533,I,80-81
works,canterburyTales,pardonerTale,Ascham,1544,I,85-86
works,canterburyTales,pardonerTale,Unknown,1555,I,94
works,canterburyTales,pardonerTale,Northbrooke,1577,I,115.
works,canterburyTales,franklinTale,Wharton,1804-5,II,22
works,canterburyTales,franklinTale,Beaumont,[1608?],IV,61
works,canterburyTales,franklinTale,Lydgate,[1403?],I,18
works,canterburyTales,franklinTale,Walkington,1607,I,180
works,canterburyTales,franklinTale,Dekker,1613,IV,62
works,canterburyTales,franklinTale,Pope,1717,I,346.
works,canterburyTales,melibeus,Unknown,[1420-30],I,33
works,canterburyTales,melibeus,Radcliffe,[a. 1559],I,95
works,canterburyTales,melibeus,Steevens,1796,I,498-499
works,canterburyTales,melibeus,Keightley [N. & Q.],1860,III,54
works,canterburyTales,melibeus,Keightley [N. & Q.],1862,III,65
works,canterburyTales,melibeus,Guest,1838,II,222-224.
works,canterburyTales,merchantTale,Pope,1709,I,310
works,canterburyTales,merchantTale,Wright,1843,II,252
works,canterburyTales,merchantTale,Wieland,1780,V,134
works,canterburyTales,merchantTale,Lydgate,[1403?],I,17-18
works,canterburyTales,merchantTale,Lydgate,[1430],I,36
works,canterburyTales,merchantTale,Maitland,[c. 1576],I,113
works,canterburyTales,merchantTale,B.,1594,I,140
works,canterburyTales,merchantTale,Hall,1598,I,158
works,canterburyTales,merchantTale,Niccholes,1615,I,190
works,canterburyTales,merchantTale,Peacham,1615,I,190
works,canterburyTales,merchantTale,Beaumont,[c. 1615],I,191
works,canterburyTales,merchantTale,Dekker,1623,I,198
works,canterburyTales,merchantTale,Marmion,1641,I,220.
works,canterburyTales,nunsPriestTale,Morris,1867,III,86
works,canterburyTales,nunsPriestTale,Dryden,1700,I,285
works,canterburyTales,nunsPriestTale,Powell,1841,II,239-40
works,canterburyTales,nunsPriestTale,Lydgate,1444,I,46
works,canterburyTales,nunsPriestTale,Unknown,[1440?],I,44
works,canterburyTales,nunsPriestTale,Skelton,[1507?],I,68-69
works,canterburyTales,nunsPriestTale,Unknown,[c. 1540],I,83
works,canterburyTales,nunsPriestTale,Drant,1567,I,100
works,canterburyTales,nunsPriestTale,Shakespeare,[1596-7],I,144
works,canterburyTales,nunsPriestTale,Shakespeare,[1610-11],I,185
works,canterburyTales,nunsPriestTale,Stowe,1600,I,164-165
works,canterburyTales,nunsPriestTale,Camden,1605,I,175
works,canterburyTales,nunsPriestTale,Camden,1616,I,191
works,canterburyTales,nunsPriestTale,Heywood,[1607-9],I,180
works,canterburyTales,nunsPriestTale,Walkington,1607,I,180
works,canterburyTales,nunsPriestTale,Twine,[1608-44?],I,182-183
works,canterburyTales,nunsPriestTale,Nash,1633,I,205
works,canterburyTales,nunsPriestTale,Cartwright,[c. 1634],I,206
works,canterburyTales,nunsPriestTale,Cleveland,[a. 1658],I,235
works,canterburyTales,nunsPriestTale,Garrick,[c. 1770],I,436
works,canterburyTales,nunsPriestTale,Johnson,1779-81,I,456
works,canterburyTales,nunsPriestTale,Bell,[c. 1785],I,481
works,canterburyTales,nunsPriestTale,Scott,1808,II,41
works,canterburyTales,nunsPriestTale,Thoms,1844,II,257.
works,canterburyTales,clerkTale,Wright,1867,III,87
works,canterburyTales,clerkTale,L[aing],1843,II,248
works,canterburyTales,clerkTale,Ogle,1739,I,384-386
works,canterburyTales,clerkTale,Unknown,1794,IV,100
works,canterburyTales,clerkTale,Tytler,1828,II,171
works,canterburyTales,clerkTale,Unknown,1837,II,219
works,canterburyTales,clerkTale,Unknown,1845,II,266
works,canterburyTales,clerkTale,Dubuc,1813,V,41-43
works,canterburyTales,clerkTale,Unknown,1828,II,171
works,canterburyTales,clerkTale,Collier,1841,II,229
works,canterburyTales,clerkTale,Radcliffe,[a. 1559],I,95
works,canterburyTales,clerkTale,Lydgate,[1403?],I,17-18
works,canterburyTales,clerkTale,Lydgate,[c. 1430?],I,35-36
works,canterburyTales,clerkTale,Metham,1448-9,I,47
works,canterburyTales,clerkTale,Unknown,1536,I,81-82
works,canterburyTales,clerkTale,F.,1612,I,185.
works,canterburyTales,millerTale,Cobb,1712,I,319
works,canterburyTales,millerTale,Cobb,1725,IV,84
works,canterburyTales,millerTale,Ogle,1741,I,389
works,canterburyTales,millerTale,Unknown,1791,I,493
works,canterburyTales,millerTale,reviewed,1792,IB,?
works,canterburyTales,millerTale,Brathwait,1665,I,242
works,canterburyTales,millerTale,Rowlands,1620,I,194
works,canterburyTales,millerTale,Pinkerton,1786,I,485
works,canterburyTales,millerTale,Brydges,1812,II,57.
works,canterburyTales,manuscripts,Unknown,[c. 1420],I,26
works,canterburyTales,manuscripts,Unknown,[c. 1420],I,26
works,canterburyTales,manuscripts,Unknown,[c. 1420-30],I,32
works,canterburyTales,manuscripts,Unknown,[c. 1420-30],I,32
works,canterburyTales,manuscripts,Unknown,[c. 1420-30],I,33
works,canterburyTales,manuscripts,Unknown,[c. 1420-35],I,33
works,canterburyTales,manuscripts,Unknown,[1430],I,36
works,canterburyTales,manuscripts,Unknown,[1450],I,50-52
works,canterburyTales,manuscripts,Unknown,[c. 1460-70],I,54
works,canterburyTales,manuscripts,Wright,1847-51,II,274
works,canterburyTales,manuscripts,Chaucer,1875,III,95-96
works,canterburyTales,manuscripts,[Barkham,[a. 1642],I,221
works,canterburyTales,manuscripts,Furnivall,1867,III,88-90
works,canterburyTales,manuscripts,Chaucer,1868-77,III,95-96.
works,canterburyTales,knightTale,Morell,1737,I,381-382
works,canterburyTales,knightTale,Morris,1867,III,86
works,canterburyTales,knightTale,Dryden,1700,I,284-285
works,canterburyTales,knightTale,Thurlow,1822,II,140
works,canterburyTales,knightTale,Yart,1753-6,V,30
works,canterburyTales,knightTale,Gomont,1847,V,60
works,canterburyTales,knightTale,Shirley,[a. 1456],I,53-44
works,canterburyTales,knightTale,Harte,1727,IV,84
works,canterburyTales,knightTale,Warton,1782,I,470
works,canterburyTales,knightTale,Edwards,1566,I,99
works,canterburyTales,knightTale,Henslowe,1594,I,141
works,canterburyTales,knightTale,Steevens,1773,IV,94
works,canterburyTales,knightTale,Fletcher,[1613?],I,187
works,canterburyTales,knightTale,Lydgate,[1402-3],I,16-17
works,canterburyTales,knightTale,[Clanvowe,[c. 1403],I,16
works,canterburyTales,knightTale,Unknown,[c. 1440],I,46
works,canterburyTales,knightTale,Skelton,[1507?],I,69
works,canterburyTales,knightTale,Wyatt,[a. 1542],I,83-84
works,canterburyTales,knightTale,Bossewell,1572,I,109
works,canterburyTales,knightTale,Yart,1753-6,V,30
works,canterburyTales,knightTale,Johnson,1779,I,456
works,canterburyTales,knightTale,Eschenburg (?),1793,V,135
works,canterburyTales,knightTale,Hazlitt,1818,II,99-103
works,canterburyTales,knightTale,Hunt,1820,II,124-125
works,canterburyTales,knightTale,Scott,1808,II,39-40.
works,canterburyTales,reeveTale,Betterton,[a. 1710],I,312
works,canterburyTales,reeveTale,Unknown,[c. 1500],IV,8
works,canterburyTales,reeveTale,Wright,1844,II,257-258
works,canterburyTales,reeveTale,Leclerc,1856,V,64
works,canterburyTales,reeveTale,Whitaker,1805,II,26
works,canterburyTales,reeveTale,Unknown,1865,I,94.
works,canterburyTales,editionsFrench,Chatelain,1857-61,V,12
works,canterburyTales,editionsFrench,Simond,[1889],V,95
